REGION,YEAR,WEEK,LABEL,TOTAL CASES
California,2019,45,influenza,260
California,2019,46,influenza,373
California,2019,47,influenza,431
California,2019,48,influenza,467
California,2019,49,influenza,622
California,2019,50,influenza,765
California,2019,51,influenza,1189
California,2019,52,influenza,1027
California,2020,1,influenza,1186
California,2020,2,influenza,1338
California,2020,3,influenza,1709
California,2020,4,influenza,1894
California,2020,5,influenza,1881
California,2020,6,influenza,1609
California,2020,7,influenza,1638
California,2020,8,influenza,1330
California,2020,9,influenza,1254
California,2020,10,influenza,1023
California,2020,11,influenza,505
California,2020,12,influenza,87
California,2020,13,influenza,13
California,2020,14,influenza,9
California,2020,15,influenza,3
California,2020,16,influenza,0
California,2020,17,influenza,1
California,2020,18,influenza,0
California,2020,19,influenza,0
California,2020,20,influenza,1
California,2020,21,influenza,0
California,2020,22,influenza,0
California,2020,23,influenza,0
California,2020,24,influenza,0
California,2020,25,influenza,0
California,2020,26,influenza,0
California,2020,27,influenza,0
California,2020,28,influenza,0
California,2020,29,influenza,0
California,2020,30,influenza,0
California,2020,31,influenza,0
California,2020,32,influenza,2
California,2020,33,influenza,1
California,2020,34,influenza,2
California,2020,35,influenza,0
California,2020,36,influenza,0
California,2020,37,influenza,0
California,2020,38,influenza,1
California,2020,39,influenza,0
California,2020,40,influenza,1
California,2020,41,influenza,2
California,2020,42,influenza,1
California,2020,43,influenza,1
California,2020,44,influenza,8
California,2020,45,influenza,2
California,2020,46,influenza,9
California,2020,47,influenza,4
California,2020,48,influenza,1
California,2020,49,influenza,6
California,2020,50,influenza,8
California,2020,51,influenza,7
California,2020,52,influenza,6
California,2020,53,influenza,11
California,2021,1,influenza,8
California,2021,2,influenza,2
California,2021,3,influenza,1
California,2021,4,influenza,1
California,2021,5,influenza,4
California,2021,6,influenza,4
California,2021,7,influenza,7
California,2021,8,influenza,3
California,2021,9,influenza,4
California,2021,10,influenza,1
California,2021,11,influenza,3
California,2021,12,influenza,0
California,2021,13,influenza,0
California,2021,14,influenza,3
California,2021,15,influenza,1
California,2021,16,influenza,2
California,2021,17,influenza,1
California,2021,18,influenza,1
California,2021,19,influenza,0
California,2021,20,influenza,3
California,2021,21,influenza,0
California,2021,22,influenza,0
California,2021,23,influenza,0
California,2021,24,influenza,0
California,2021,25,influenza,2
California,2021,26,influenza,0
California,2021,27,influenza,0
California,2021,28,influenza,2
California,2021,29,influenza,0
California,2021,30,influenza,0
California,2021,31,influenza,2
California,2021,32,influenza,1
California,2021,33,influenza,0
California,2021,34,influenza,1
California,2021,35,influenza,6
California,2021,36,influenza,5
California,2021,37,influenza,1
California,2021,38,influenza,3
California,2021,39,influenza,6
California,2021,40,influenza,11
California,2021,41,influenza,11
California,2021,42,influenza,6
California,2021,43,influenza,21
California,2021,44,influenza,27
California,2021,45,influenza,34
California,2021,46,influenza,50
California,2021,47,influenza,77
California,2021,48,influenza,178
California,2021,49,influenza,179
California,2021,50,influenza,221
California,2021,51,influenza,209
California,2021,52,influenza,127
California,2022,1,influenza,130
California,2022,2,influenza,67
California,2022,3,influenza,51
California,2022,4,influenza,45
California,2022,5,influenza,33
California,2022,6,influenza,28
California,2022,7,influenza,37
California,2022,8,influenza,49
