YEAR,WEEK,TAVG,TMAX,TMIN
2018,17,12.385714285714286,22.8,4.4
2018,18,12.385714285714286,23.3,3.3
2018,19,13.8,23.3,6.1
2018,20,9.714285714285714,20.0,4.4
2018,21,10.428571428571429,23.3,5.6
2018,22,18.485714285714288,30.6,5.0
2018,23,13.542857142857143,23.9,6.1
2018,24,16.9,30.6,6.1
2018,25,22.02857142857143,34.4,10.0
2018,26,20.599999999999998,30.0,10.0
2018,27,19.728571428571428,30.6,7.2
2018,28,23.542857142857144,31.1,17.2
2018,29,24.52857142857143,33.9,17.2
2018,30,27.728571428571428,35.0,18.3
2018,31,25.585714285714285,33.9,17.8
2018,32,25.514285714285712,33.3,17.8
2018,33,23.7,32.8,15.6
2018,34,16.9,26.1,8.9
2018,35,16.385714285714286,30.6,8.9
2018,36,23.885714285714283,32.2,17.2
2018,37,15.957142857142857,28.9,8.3
2018,38,19.75714285714286,28.9,7.8
2018,39,20.2,32.8,8.9
2018,40,14.857142857142858,23.9,8.9
2018,41,15.671428571428569,25.0,7.2
2018,42,18.914285714285715,26.7,12.8
2018,43,17.857142857142858,27.2,9.4
2018,44,17.9,26.1,9.4
2018,45,15.728571428571428,23.9,2.8
2018,46,14.985714285714286,21.1,10.0
2018,47,11.028571428571428,18.3,6.1
2018,48,8.428571428571429,17.8,2.2
2018,49,8.457142857142857,15.0,0.0
2018,50,9.700000000000001,19.4,5.6
2018,51,9.871428571428572,16.1,4.4
2018,52,6.871428571428571,13.3,-3.3
2019,1,6.257142857142857,13.3,0.6
2019,2,7.671428571428572,12.2,2.8
2019,3,8.371428571428572,17.2,3.3
2019,4,11.87142857142857,21.7,3.3
2019,5,9.928571428571429,20.0,4.4
2019,6,2.5285714285714285,7.8,-1.7
2019,7,4.0,11.7,-2.8
2019,8,4.242857142857143,12.2,-0.6
2019,9,6.728571428571429,10.6,2.8
2019,10,4.714285714285714,8.3,0.6
2019,11,9.9,20.6,2.8
2019,12,8.857142857142858,20.0,3.3
2019,13,8.8,20.6,3.3
2019,14,9.614285714285714,19.4,5.6
2019,15,11.557142857142859,19.4,4.4
2019,16,12.285714285714286,23.9,4.4
2019,17,19.24285714285714,27.2,6.7
2019,18,11.985714285714286,22.2,2.8
2019,19,11.799999999999999,22.8,5.0
2019,20,9.385714285714286,23.9,4.4
2019,21,9.285714285714286,18.3,4.4
2019,22,15.457142857142857,25.0,5.6
2019,23,20.142857142857142,30.6,6.1
2019,24,22.385714285714283,32.8,11.1
2019,25,20.642857142857142,29.4,8.3
2019,26,17.742857142857144,27.8,7.2
2019,27,19.17142857142857,28.9,11.7
2019,28,20.8,30.6,8.9
2019,29,19.25714285714286,26.7,10.0
2019,30,25.528571428571432,34.4,18.3
2019,31,21.62857142857143,31.1,14.4
2019,32,19.228571428571428,29.4,10.0
2019,33,22.5,33.9,8.3
2019,34,20.957142857142856,30.6,10.0
2019,35,23.342857142857145,33.9,12.2
2019,36,20.47142857142857,30.6,10.0
2019,37,20.457142857142856,32.8,10.6
2019,38,16.54285714285714,26.1,9.4
2019,39,16.585714285714285,32.2,5.6
2019,40,14.257142857142856,26.1,4.4
2019,41,18.114285714285714,27.8,10.6
2019,42,14.271428571428572,23.9,7.2
2019,43,20.657142857142855,30.6,8.9
2019,44,15.328571428571431,25.6,7.8
2019,45,19.571428571428573,26.1,15.6
2019,46,15.971428571428572,25.0,7.2
2019,47,11.771428571428572,26.1,5.6
2019,48,4.357142857142857,12.2,0.0
2019,49,9.228571428571428,13.3,7.2
2019,50,8.27142857142857,13.3,2.2
2019,51,7.514285714285714,13.3,3.3
2019,52,5.757142857142857,13.9,2.2
2020,1,9.185714285714285,16.7,3.3
2020,2,6.785714285714286,16.1,1.7
2020,3,5.614285714285714,15.6,1.1
2020,4,9.671428571428573,18.3,5.0
2020,5,10.799999999999999,22.8,0.0
2020,6,9.071428571428571,20.6,-0.6
2020,7,11.928571428571429,18.9,5.0
2020,8,11.342857142857143,17.2,3.9
2020,9,13.157142857142857,22.2,2.2
2020,10,9.885714285714286,22.8,1.7
2020,11,8.7,20.0,2.8
2020,12,5.3428571428571425,12.2,0.6
2020,13,4.957142857142857,9.4,0.0
2020,14,7.257142857142858,17.2,1.7
2020,15,7.257142857142857,15.0,1.1
2020,16,10.814285714285715,22.8,3.3
2020,17,15.414285714285715,25.6,5.0
2020,18,15.157142857142857,26.1,7.2
2020,19,18.47142857142857,28.3,8.3
2020,20,10.742857142857144,20.6,4.4
2020,21,13.442857142857141,26.7,5.0
2020,22,19.771428571428572,32.2,8.3
2020,23,17.342857142857145,32.2,5.6
2020,24,17.071428571428573,30.6,7.2
2020,25,19.342857142857145,27.8,7.8
2020,26,22.528571428571432,30.6,7.2
2020,27,19.75714285714286,30.0,10.6
2020,28,23.428571428571427,35.6,11.1
2020,29,20.385714285714283,28.3,12.8
2020,30,20.3,29.4,10.6
2020,31,24.099999999999998,31.7,17.8
2020,32,19.414285714285715,30.0,10.0
2020,33,26.87142857142857,36.7,16.1
2020,34,26.37142857142857,36.7,17.8
2020,35,22.771428571428572,31.1,14.4
2020,36,26.557142857142857,40.6,16.7
2020,37,23.657142857142855,40.6,16.1
2020,38,20.928571428571427,28.3,12.2
2020,39,20.62857142857143,28.9,10.6
2020,40,28.62857142857143,35.0,22.8
2020,41,19.428571428571427,30.6,10.0
2020,42,25.085714285714285,31.7,18.9
2020,43,17.928571428571427,28.9,8.3
2020,44,18.599999999999998,28.9,7.2
2020,45,14.428571428571429,28.9,2.2
2020,46,9.557142857142859,18.9,2.8
2020,47,12.0,23.9,5.0
2020,48,10.12857142857143,18.3,5.0
2020,49,13.0,18.3,8.3
2020,50,11.8,22.8,2.8
2020,51,9.842857142857142,19.4,3.3
2020,52,9.442857142857141,21.7,3.3
2020,53,7.714285714285714,13.9,2.2
2021,1,9.428571428571429,17.8,3.9
2021,2,15.328571428571427,23.9,6.7
2021,3,8.285714285714286,17.8,1.1
2021,4,4.4714285714285715,11.7,0.0
2021,5,9.785714285714286,20.0,1.7
2021,6,8.514285714285714,17.8,3.3
2021,7,7.485714285714286,13.9,2.8
2021,8,10.914285714285715,18.9,2.2
2021,9,8.228571428571428,13.9,1.7
2021,10,4.757142857142857,12.8,0.6
2021,11,4.971428571428571,12.8,0.0
2021,12,10.12857142857143,22.2,2.2
2021,13,13.657142857142858,24.4,1.7
2021,14,11.785714285714286,22.2,2.2
2021,15,13.642857142857142,25.0,3.3
2021,16,9.6,22.2,3.3
2021,17,14.314285714285715,25.6,2.2
2021,18,18.285714285714285,27.2,5.0
2021,19,16.4,27.8,5.0
2021,20,10.942857142857141,20.6,2.2
2021,21,16.942857142857143,30.0,5.6
2021,22,23.214285714285715,33.9,9.4
2021,23,13.171428571428573,26.7,5.0
2021,24,24.414285714285715,37.2,10.0
2021,25,18.52857142857143,33.9,8.9
2021,26,21.671428571428574,31.1,15.6
2021,27,27.5,39.4,16.1
2021,28,22.185714285714287,33.9,13.9
2021,29,24.983333333333334,30.6,18.3
2021,30,24.685714285714287,33.9,13.9
2021,31,23.957142857142856,32.8,13.9
2021,32,26.97142857142857,36.1,18.3
2021,33,18.67142857142857,35.0,10.0
2021,34,23.557142857142857,34.4,12.2
2021,35,21.400000000000002,33.9,7.2
2021,36,25.785714285714285,35.0,17.2
2021,37,19.142857142857142,31.1,7.2
2021,38,23.12857142857143,31.1,14.4
2021,39,19.900000000000002,30.0,8.3
2021,40,14.799999999999999,29.4,5.0
2021,41,13.671428571428573,26.1,5.0
2021,42,10.028571428571428,14.4,5.6
2021,43,12.9,24.4,5.6
2021,44,11.457142857142857,20.0,5.0
2021,45,15.842857142857143,26.1,5.0
2021,46,13.585714285714285,21.1,8.3
2021,47,15.299999999999999,23.3,8.3
2021,48,17.771428571428572,26.1,10.0
2021,49,8.014285714285714,16.7,2.8
2021,50,5.628571428571428,15.0,0.6
2021,51,6.242857142857143,11.1,0.6
2021,52,3.9571428571428577,8.9,0.0
2022,1,8.714285714285714,16.7,3.9
2022,2,13.642857142857142,18.9,8.9
2022,3,11.857142857142858,18.9,7.2
2022,4,11.642857142857142,17.2,7.2
2022,5,10.257142857142856,18.9,3.9
2022,6,18.17142857142857,24.4,12.2
2022,7,10.985714285714286,18.9,1.1
2022,8,5.928571428571429,19.4,-1.1
2022,9,10.6,21.7,1.1
2022,10,10.928571428571429,17.8,4.4
2022,11,11.0,18.9,3.3
2022,12,15.857142857142858,24.4,5.6
2022,13,11.299999999999999,21.7,3.9
2022,14,16.1,28.9,3.3
2022,15,6.842857142857143,16.1,0.6
2022,16,9.757142857142856,20.6,3.9
2022,17,10.642857142857142,21.1,3.3
2022,18,12.157142857142857,25.0,2.8
2022,19,11.142857142857142,25.0,1.1
