YEAR,WEEK,PRCP
2021,21,0.0
2021,22,0.0
2021,23,0.0
2021,24,0.01
2021,25,0.0
2021,26,0.0
2021,27,0.0
2021,28,0.0
2021,29,0.0
2021,30,0.0
2021,31,0.05
2021,32,0.0
2021,33,0.0
2021,34,0.0
2021,35,0.0
2021,36,0.02
2021,37,0.02
2021,38,0.0
2021,39,0.03
2021,40,0.0
2021,41,0.08
2021,42,6.6499999999999995
2021,43,0.31
2021,44,0.37
2021,45,0.9000000000000001
2021,46,0.01
2021,47,0.0
2021,48,0.0
2021,49,0.65
2021,50,3.53
2021,51,2.59
2021,52,1.1400000000000001
2022,1,0.61
2022,2,0.0
2022,3,0.0
2022,4,0.0
2022,5,0.0
2022,6,0.0
2022,7,0.0
2022,8,0.04
2022,9,0.11
2022,10,0.0
2022,11,0.19
2022,12,0.18
2022,13,0.0
2022,14,0.0
2022,15,0.62
2022,16,0.45999999999999996
2022,17,0.0
2022,18,0.02
2022,19,0.0
2022,20,0.0
2022,21,0.0
2022,22,0.23
2022,23,0.0
2022,24,0.0
2022,25,0.0
2022,26,0.05
2022,27,0.0
2022,28,0.01
2022,29,0.0
2022,30,0.030000000000000002
2022,31,0.0
2022,32,0.0
2022,33,0.0
2022,34,0.0
2022,35,0.0
2022,36,0.0
2022,37,0.33
2022,38,0.01
2022,39,0.0
2022,40,0.0
2022,41,0.0
2022,42,0.0
2022,43,0.0
2022,44,0.32999999999999996
2022,45,1.03
2022,46,0.0
2022,47,0.0
2022,48,1.22
2022,49,1.4699999999999998
2022,50,0.06
2022,51,0.0
2022,52,8.850000000000001
2023,1,2.32
2023,2,5.83
2023,3,0.74
2023,4,0.0
2023,5,0.98
2023,6,0.09000000000000001
2023,7,0.0
2023,8,1.53
2023,9,1.4
2023,10,1.85
2023,11,1.87
2023,12,1.33
2023,13,1.4
2023,14,0.21
2023,15,0.02
2023,16,0.01
2023,17,0.0
2023,18,1.1700000000000002
2023,19,0.02
2023,20,0.02
2023,21,0.0
2023,22,0.0
2023,23,0.0
2023,24,0.0
2023,25,0.0
2023,26,0.01
2023,27,0.0
2023,28,0.0
2023,29,0.0
2023,30,0.0
2023,31,0.0
2023,32,0.0
2023,33,0.0
2023,34,0.0
2023,35,0.02
2023,36,0.0
2023,37,0.0
2023,38,0.0
2023,39,0.09000000000000001
2023,40,0.0
2023,41,0.04
2023,42,0.19
2023,43,0.0
2023,44,0.04
2023,45,0.01
2023,46,1.27
2023,47,0.0
2023,48,0.58
2023,49,0.29000000000000004
2023,50,0.07
2023,51,3.01
2023,52,1.18
2024,1,0.46
2024,2,1.49
2024,3,1.5899999999999999
2024,4,1.3599999999999999
2024,5,4.68
2024,6,0.75
2024,7,0.77
2024,8,1.6400000000000001
2024,9,1.79
2024,10,0.34
2024,11,0.51
2024,12,0.6699999999999999
2024,13,0.79
2024,14,0.54
2024,15,0.5800000000000001
2024,16,0.0
2024,17,0.04
2024,18,0.94
2024,19,0.0
2024,20,0.0
2024,21,0.09000000000000001
2024,22,0.0
2024,23,0.0
2024,24,0.0
2024,25,0.0
2024,26,0.0
2024,27,0.0
2024,28,0.0
2024,29,0.0
2024,30,0.0
2024,31,0.01
2024,32,0.0
2024,33,0.0
2024,34,0.04
2024,35,0.0
2024,36,0.0
2024,37,0.0
2024,38,0.0
2024,39,0.0
2024,40,0.0
2024,41,0.0
2024,42,0.0
2024,43,0.0
2024,44,0.14
2024,45,0.0
2024,46,0.42
2024,47,3.77
2024,48,0.33999999999999997
2024,49,0.0
2024,50,2.58
2024,51,1.2
2024,52,1.75
2025,1,0.18
2025,2,0.01
2025,3,0.0
2025,4,0.0
2025,5,1.08
2025,6,3.7
2025,7,2.17
2025,8,0.04
2025,9,0.16
2025,10,0.0
2025,11,1.21
2025,12,0.1
2025,13,0.14
2025,14,0.46
2025,15,0.09
2025,16,0.03
2025,17,0.03
2025,18,0.0
2025,19,0.0
2025,20,0.15
2025,21,0.0
2025,22,0.01
2025,23,0.0
2025,24,0.0
2025,25,0.0
2025,26,0.01
2025,27,0.0
2025,28,0.0
2025,29,0.0
2025,30,0.08
2025,31,0.0
2025,32,0.0
2025,33,0.030000000000000002
2025,34,0.0
2025,36,0.0
2025,37,0.05
2025,38,0.0
